time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
435907.104080	-0.084214	0.002420	-0.034796	105
435909.204216	-0.112264	0.002394	-0.046896	106
435921.752174	-0.070323	0.002400	-0.029296	109
435923.849188	-0.148320	0.002393	-0.061992	110
435925.945012	-0.165889	0.002420	-0.068555	111
435928.011442	-0.067697	0.002398	-0.028227	112
435930.107541	-0.090890	0.002396	-0.037935	113
435932.206228	-0.150257	0.002400	-0.062612	114
435934.302369	-0.092377	0.002402	-0.038460	115
435936.367017	-0.031389	0.002399	-0.013082	116
435938.463152	-0.022427	0.002420	-0.009269	117
435940.561274	-0.057298	0.002387	-0.024002	118
435942.659490	-0.095796	0.002425	-0.039507	119
435944.756586	-0.113863	0.002395	-0.047535	120
435946.853634	-0.187740	0.002388	-0.078608	121
435948.948162	-0.274718	0.002393	-0.114811	122
435951.014453	-0.150293	0.002391	-0.062851	123
435953.113057	-0.115819	0.002417	-0.047925	124
