time (s)	coil I (A)	last det (V)	int current (uC)
435505.401953	0.218863	-8.984375	-623.242187
435505.403956	0.217854	2.396394	-0.002579
435507.400937	0.219327	-29.394531	-519.042969
435507.402939	0.218507	2.403572	0.001354
435509.465637	0.218365	-33.007812	-490.429687
435509.467638	0.217622	2.393842	0.060647
435511.566745	0.218228	-29.101562	-501.269531
435511.568750	0.217816	2.395977	0.026847
435513.659367	0.219474	-25.976562	-509.765625
435513.661369	0.218501	2.403510	0.001048
435518.115807	0.218215	53.027344	-749.218750
435518.117807	0.217301	2.390314	-0.022709
435524.374261	0.218143	47.558594	-763.378906
435524.376264	0.217259	2.389853	-0.023465
435526.210387	0.218107	-23.144531	-531.445312
435526.212389	0.217425	-23.144531	-531.445312
435526.214389	0.216964	2.386601	0.002782
435528.306522	0.219031	-25.097656	-530.273437
435528.308525	0.218125	2.399380	0.000318
435530.375202	0.217697	-30.761719	-507.226562
435530.377204	0.217355	2.390908	0.000746
435532.470280	0.193262	-30.664062	-527.636719
435532.474280	0.217669	2.394356	-0.001056
435534.566463	0.219018	-32.910156	-530.468750
435534.568462	0.218300	2.401295	-0.000031
435536.662593	0.219006	-34.375000	-532.128906
435536.664595	0.218230	2.400532	0.000078
435538.758705	0.216371	-35.156250	-528.710937
435538.760707	0.219751	2.417264	0.000878
435543.185095	0.211127	40.429687	-770.800781
435543.189095	0.216632	2.382950	-0.021675
435553.410547	0.217085	-12.207031	-545.019531
435553.412549	0.216666	2.383322	0.000110
435555.473631	0.217089	-16.308594	-517.089844
435555.475633	0.216691	2.383597	0.000907
435557.567871	0.220808	-14.355469	-525.878906
435557.569873	0.220692	2.427607	0.000130
435559.667999	0.218412	-13.085937	-544.238281
435559.671999	0.217562	2.393186	0.001291
435561.762195	0.218902	-13.867187	-539.355469
435561.764198	0.218597	2.404565	0.000224
435563.860358	0.218605	-11.816406	-557.324219
435563.862359	0.217877	2.396651	0.001391
435565.924490	0.218142	-18.164062	-529.199219
435565.926494	0.217411	2.391520	0.001981
435568.020617	0.216073	-20.996094	-538.964844
435568.022618	0.217821	2.396030	-0.000319
435570.118730	0.217563	-23.339844	-547.265625
435570.120732	0.216766	2.384430	0.000312
435572.182878	0.218692	-32.324219	-519.433594
435572.184880	0.217740	2.395144	0.000215
435574.279029	0.209558	-30.957031	-537.792969
435574.281032	0.218619	-30.957031	-537.792969
435574.283031	0.217936	2.397298	-0.000235
435576.377216	0.220858	-29.199219	-549.707031
435576.379215	0.220078	2.420854	-0.000208
435578.474232	0.220240	-24.511719	-563.769531
435578.476234	0.219325	2.412576	0.000373
435580.570376	1.660353	-20.507812	-570.996094
435580.572378	0.218944	-20.507812	-570.996094
435580.574375	0.218191	2.400098	0.001046
435582.670469	0.219347	-14.550781	-588.671875
435582.674470	0.218527	2.403794	0.000170
435584.734617	0.217677	-17.578125	-552.148437
435584.736620	0.216991	2.386902	0.000299
435586.829224	0.211439	-13.281250	-569.824219
435586.833222	0.217859	-13.281250	-569.824219
435586.835224	0.217302	2.390323	0.000612
435588.929405	0.217967	-11.230469	-580.566406
435588.931405	0.217487	2.392353	0.000064
435591.025445	1.194100	-10.546875	-577.734375
435591.027446	0.218864	2.407507	0.266176
435593.124183	0.217794	-9.375000	-584.375000
435593.126185	0.217335	2.390687	0.001028
435595.218857	0.220703	-7.324219	-599.316406
435595.220856	0.219908	2.418993	0.001514
435597.283020	0.219276	-9.570312	-578.710937
435597.285024	0.218382	2.402199	0.000738
435599.381115	0.218507	-10.449219	-570.898437
435599.383117	0.217748	2.395233	0.000342
435601.478116	0.217648	-8.984375	-589.355469
435601.480119	0.217023	2.387257	0.001316
435603.574254	0.218597	-10.742187	-586.132812
435603.578254	0.217336	2.390695	-0.000099
435605.675336	0.216840	-10.742187	-596.386719
435605.677340	0.216447	2.380920	0.000865
435607.735972	0.218660	-15.136719	-574.902344
435607.737974	0.217668	2.394346	0.001260
435609.836113	0.219618	-16.601562	-570.898437
435609.838113	0.219220	2.411415	-0.000030
435611.931154	0.219919	-16.796875	-591.015625
435611.933156	0.219224	2.411469	-0.000353
435614.029307	0.672070	-16.992187	-593.261719
435614.031310	0.217438	2.391821	-0.000286
435616.095416	0.217592	-21.582031	-547.851562
435616.097418	0.217135	2.388480	0.622153
435618.189485	0.219682	-19.335937	-550.976562
435618.193484	0.218442	2.402863	-0.000393
435620.285592	0.218233	-14.160156	-561.230469
435620.287594	0.219698	2.416680	0.000820
435622.388200	0.217183	-9.082031	-570.312500
435622.390202	0.216865	2.385520	0.081179
435624.480789	0.220231	-4.882812	-581.347656
435624.482791	0.219402	2.413427	0.000481
435626.578968	0.218652	-2.441406	-582.519531
435626.580969	0.218131	2.399442	0.459993
435628.675046	0.219605	1.074219	-597.949219
435628.677049	0.218834	2.407170	0.001332
435630.739212	0.221094	0.488281	-577.050781
435630.741215	0.220120	2.421323	0.002797
435632.839361	0.218155	2.539062	-590.429687
435632.841364	0.217738	2.395118	0.207636
435634.933494	0.219299	3.320312	-597.265625
435634.935493	0.218260	2.400860	0.000983
435637.031636	0.218855	2.832031	-590.527344
435637.033638	0.218072	2.398795	0.193160
435639.126692	0.199274	3.613281	-605.175781
435639.128695	0.218727	3.613281	-605.175781
435639.130695	0.217970	2.397670	0.001015
435641.192842	0.218482	-0.390625	-569.531250
435641.194844	0.217877	2.396642	0.001399
435643.288959	0.219949	-1.269531	-586.914062
435643.290959	0.219831	2.418142	0.001459
435645.387096	0.218017	-3.222656	-593.652344
435645.389097	0.217280	2.390084	0.000921
435647.485304	0.220911	-6.542969	-595.605469
435647.487308	0.220466	2.425125	0.000758
435649.551996	0.217186	-11.230469	-574.804687
435649.553997	0.216863	2.385493	0.000604
435651.646587	0.218152	-11.816406	-590.527344
435651.648591	0.217628	2.393912	0.000894
435653.744757	0.217871	-11.425781	-597.558594
435653.746758	0.217453	2.391980	0.000408
435655.839386	0.220580	-8.984375	-610.742187
435655.841386	0.219800	2.417805	0.001475
435657.937530	0.219001	-5.566406	-628.515625
435657.939532	0.218353	2.401880	0.000846
435660.003698	0.218090	-5.078125	-602.343750
435660.005700	0.217681	2.394488	0.001789
435662.098357	0.218225	-1.953125	-620.117187
435662.100358	0.217308	2.390385	0.000597
435664.196505	0.218300	-0.878906	-616.406250
435664.198507	0.217591	2.393496	0.360370
435666.291561	0.208773	0.976562	-628.808594
435666.293563	0.218382	0.976562	-628.808594
435666.295560	0.217650	2.394152	0.001447
435668.389761	0.222387	2.539062	-638.769531
435668.391763	0.221543	2.436974	0.000890
435670.487911	0.218058	3.906250	-648.339844
435670.489913	0.217459	2.392051	0.320914
435672.550061	0.200612	2.050781	-612.500000
435672.552065	0.218559	2.050781	-612.500000
435672.554065	0.217775	2.395525	0.001251
435674.648182	0.219572	2.148437	-630.761719
435674.650184	0.218894	2.407835	0.001678
435676.748325	0.217598	2.734375	-639.941406
435676.750327	0.217077	2.387851	0.103626
435678.844435	0.217728	2.343750	-649.316406
435678.846436	0.217111	2.388223	-0.000046
435680.940533	0.218743	1.269531	-644.433594
435680.942534	0.217770	2.395472	0.011425
435683.004654	0.218636	-1.171875	-628.515625
435683.006654	0.217775	2.395525	0.000656
435685.102805	0.219797	-1.562500	-620.117187
435685.104807	0.219181	2.410990	0.001347
435687.199422	0.219667	-3.710937	-619.726562
435687.201424	0.218759	2.406346	0.000113
435689.295552	0.225733	-2.929687	-632.910156
435689.297553	0.224819	2.473008	0.000800
435691.391656	0.199453	-1.074219	-639.257812
435691.393658	0.218217	-1.074219	-639.257812
435691.395658	0.217482	2.392299	0.000232
