time (s)	coil I (A)	last det (V)	int current (uC)
435505.401953	0.218863	-8.984375	-623.242187
435505.403956	0.217854	2.396394	-0.002579
435507.400937	0.219327	-29.394531	-519.042969
435507.402939	0.218507	2.403572	0.001354
435509.465637	0.218365	-33.007812	-490.429687
435509.467638	0.217622	2.393842	0.060647
435511.566745	0.218228	-29.101562	-501.269531
435511.568750	0.217816	2.395977	0.026847
435513.659367	0.219474	-25.976562	-509.765625
435513.661369	0.218501	2.403510	0.001048
435518.115807	0.218215	53.027344	-749.218750
435518.117807	0.217301	2.390314	-0.022709
435524.374261	0.218143	47.558594	-763.378906
435524.376264	0.217259	2.389853	-0.023465
435526.210387	0.218107	-23.144531	-531.445312
435526.212389	0.217425	-23.144531	-531.445312
435526.214389	0.216964	2.386601	0.002782
435528.306522	0.219031	-25.097656	-530.273437
435528.308525	0.218125	2.399380	0.000318
435530.375202	0.217697	-30.761719	-507.226562
435530.377204	0.217355	2.390908	0.000746
